Entity,Code,year,Day,Training_computation_petaflop,Domain
6-layer MLP (MNIST),,2010,01-03-2010,0.131,Vision
A3C FF hs,,2016,04-02-2016,NA,Games
ADALINE,,1960,30-06-1960,9.90E-12,Vision
ADAM (CIFAR-10),,2014,22-12-2014,60.5,Vision
ALBERT,,2019,26-09-2019,NA,Language
ALBERT-xxlarge,,2020,09-02-2020,2540000,Language
ALVINN,,1989,01-12-1989,0.0000812,Driving
ASE+ACE,,1983,01-09-1983,NA,Games
Advantage Learning,,2015,15-12-2015,NA,Games
AlexNet,,2012,30-09-2012,470,Vision
AlexaTM 20B,,2022,02-08-2022,204000000,Language
AlphaCode,,2022,02-02-2022,40500000,Language
AlphaFold,,2020,15-01-2020,100000,Other
AlphaFold2,,2020,30-11-2020,NA,Other
AlphaGo Fan,,2015,01-10-2015,380000,Games
AlphaGo Lee,,2016,27-01-2016,1900000,Games
AlphaGo Master,,2017,01-01-2017,150000000,Games
AlphaGo Zero,,2017,19-10-2017,341000000,Games
AlphaStar,,2019,30-10-2019,202000000,Games
AlphaZero,,2017,05-12-2017,36700000,Games
AmoebaNet-A (F=190),,2018,05-02-2018,NA,Vision
AmoebaNet-A (F=448),,2018,05-02-2018,385000,Vision
BART-large,,2019,29-10-2019,NA,Language
BERT-Large,,2018,11-10-2018,285000,Language
BOXES,,1968,01-07-1968,NA,Games
BPE,,2015,31-08-2015,NA,Language
BPL,,2015,11-12-2015,NA,Drawing
BRNN,,1997,01-11-1997,NA,Speech
Back-propagation,,1986,01-10-1986,1.24E-07,Other
BatchNorm,,2015,15-06-2015,NA,Other
BiLSTM for Speech,,2005,01-08-2005,0.0241,Speech
BigChaos 2008,,2008,25-11-2008,NA,Recommendation
BigGAN-deep 512x512,,2018,28-09-2018,3000000,Drawing
Boss (DARPA Urban Challenge),,2008,23-07-2008,NA,Driving
CLIP (ResNet-50),,2021,05-01-2021,NA,Multimodal
CLIP (ViT L/14@336px),,2021,05-01-2021,10500000,Multimodal
CNN Best Practices,,2003,06-08-2003,NA,Vision
CTC-Trained LSTM,,2006,25-06-2006,NA,Speech
CURL,,2020,08-04-2020,NA,Games
CapsNet (MNIST),,2017,26-10-2017,NA,Vision
CapsNet (MultiMNIST),,2017,26-10-2017,NA,Vision
Chinchilla,,2022,29-03-2022,576000000,Language
Codex,,2021,07-07-2021,NA,Language
Cognitron,,1975,01-09-1975,NA,Other
Constituency-Tree LSTM,,2015,28-02-2015,NA,Language
DALL-E,,2021,05-01-2021,47000000,Drawing
DALL·E 2,,2022,06-04-2022,NA,Drawing
DBLSTM,,2013,08-12-2013,NA,Speech
DImensionality Reduction,,2006,18-07-2006,NA,Vision
DMN,,2016,20-06-2016,NA,Language
DQN,,2013,01-01-2013,2.3,Games
DQN-2015,,2015,25-02-2015,NA,Games
DSN,,2015,09-05-2015,NA,VIsion
Decision tree (classification),,2001,08-12-2001,0.063,Vision
Deconvolutional Network,,2010,13-06-2010,NA,Vision
Decoupled weight decay regularization,,2019,04-01-2019,2470,Vision
Deep Belief Nets,,2006,18-07-2006,NA,Vision
Deep Boltzmann Machines,,2009,16-04-2009,NA,Other
