Entity,Code,year,Day,Training_computation_petaflop,Researcher_affiliation
6-layer MLP (MNIST),,2010,01-03-2010,0.131,Academia
A3C FF hs,,2016,04-02-2016,NA,"Collaboration, Industry-leaning"
ADALINE,,1960,30-06-1960,9.90E-12,Academia
ADAM (CIFAR-10),,2014,22-12-2014,60.5,Collaboration
ALBERT,,2019,26-09-2019,NA,Collaboration
ALBERT-xxlarge,,2020,09-02-2020,2540000,Collaboration
ALVINN,,1989,01-12-1989,0.0000812,Academia
ASE+ACE,,1983,01-09-1983,NA,Academia
Advantage Learning,,2015,15-12-2015,NA,Industry
AlexNet,,2012,30-09-2012,470,Academia
AlexaTM 20B,,2022,02-08-2022,204000000,Industry
AlphaCode,,2022,02-02-2022,40500000,Industry
AlphaFold,,2020,15-01-2020,100000,Industry
AlphaFold2,,2020,30-11-2020,NA,Industry
AlphaGo Fan,,2015,01-10-2015,380000,Industry
AlphaGo Lee,,2016,27-01-2016,1900000,Industry
AlphaGo Master,,2017,01-01-2017,150000000,Industry
AlphaGo Zero,,2017,19-10-2017,341000000,Industry
AlphaStar,,2019,30-10-2019,202000000,Industry
AlphaZero,,2017,05-12-2017,36700000,Industry
AmoebaNet-A (F=190),,2018,05-02-2018,NA,Industry
AmoebaNet-A (F=448),,2018,05-02-2018,385000,Industry
BART-large,,2019,29-10-2019,NA,Industry
BERT-Large,,2018,11-10-2018,285000,Industry
BOXES,,1968,01-07-1968,NA,Academia
BPE,,2015,31-08-2015,NA,Academia
BPL,,2015,11-12-2015,NA,Academia
BRNN,,1997,01-11-1997,NA,Industry
Back-propagation,,1986,01-10-1986,1.24E-07,Academia
BatchNorm,,2015,15-06-2015,NA,Industry
BiLSTM for Speech,,2005,01-08-2005,0.0241,Academia
BigChaos 2008,,2008,25-11-2008,NA,Industry
BigGAN-deep 512x512,,2018,28-09-2018,3000000,Collaboration
Boss (DARPA Urban Challenge),,2008,23-07-2008,NA,Collaboration
CLIP (ResNet-50),,2021,05-01-2021,NA,Industry
CLIP (ViT L/14@336px),,2021,05-01-2021,10500000,Industry
CNN Best Practices,,2003,06-08-2003,NA,Industry
CTC-Trained LSTM,,2006,25-06-2006,NA,Academia
CURL,,2020,08-04-2020,NA,Academia
CapsNet (MNIST),,2017,26-10-2017,NA,Industry
CapsNet (MultiMNIST),,2017,26-10-2017,NA,Industry
Chinchilla,,2022,29-03-2022,576000000,Industry
Codex,,2021,07-07-2021,NA,Industry
Cognitron,,1975,01-09-1975,NA,Industry
Constituency-Tree LSTM,,2015,28-02-2015,NA,Collaboration
DALL-E,,2021,05-01-2021,47000000,Industry
DALL·E 2,,2022,06-04-2022,NA,Industry
DBLSTM,,2013,08-12-2013,NA,Academia
DImensionality Reduction,,2006,18-07-2006,NA,Academia
DMN,,2016,20-06-2016,NA,Industry
DQN,,2013,01-01-2013,2.3,Industry
DQN-2015,,2015,25-02-2015,NA,Industry
DSN,,2015,09-05-2015,NA,"Collaboration, Academia-leaning"
Decision tree (classification),,2001,08-12-2001,0.063,Collaboration
Deconvolutional Network,,2010,13-06-2010,NA,Academia
Decoupled weight decay regularization,,2019,04-01-2019,2470,Academia
Deep Belief Nets,,2006,18-07-2006,NA,Academia
Deep Boltzmann Machines,,2009,16-04-2009,NA,Academia
DeepLab,,2014,22-12-2014,NA,Collaboration
DeepLabV3,,2017,17-06-2017,NA,Industry
DeepLabV3+,,2018,07-02-2018,NA,Industry
DeepSpeech2,,2015,08-12-2015,26000,Industry
Denoising Autoencoders,,2008,05-07-2008,NA,Academia
Denoising Diffusion Probabilistic Models (LSUN Bedroom),,2021,11-06-2021,1600,Academia
DenseNet-264,,2016,25-08-2016,NA,"Collaboration, Academia-leaning"
Domain Adaptation,,2011,06-11-2011,NA,Academia
DrLIM,,2006,17-06-2006,NA,Academia
Dropout (CIFAR),,2012,03-06-2012,NA,Academia
Dropout (ImageNet),,2012,03-06-2012,NA,Academia
Dropout (MNIST),,2012,03-06-2012,6.04,Academia
Dropout (TIMIT),,2012,03-06-2012,NA,Academia
ELIZA,,1966,01-01-1966,1.00E-10,Academia
ELMo,,2018,01-02-2018,NA,Industry
ESRGAN,,2018,01-09-2018,NA,Academia
EfficientNet-L2,,2019,28-05-2019,NA,Industry
FAST,,2006,07-05-2006,NA,Academia
FLAN,,2021,03-09-2021,NA,Industry
Fast R-CNN,,2015,30-04-2015,NA,Industry
Faster R-CNN,,2015,04-06-2015,NA,Industry
Feedforward NN,,2010,13-05-2010,0.35,Academia
Flamingo,,2022,29-04-2022,NA,Industry
Fuzzy NN,,1992,01-09-1992,3.05E-09,Academia
GANs,,2014,10-06-2014,518,Academia
GLEE,,1968,01-07-1968,NA,Academia
GNMT,,2016,26-09-2016,6900000,Industry
GPT,,2018,01-06-2018,17600,Industry
GPT-2,,2019,14-02-2019,1490000,Industry
GPT-3 175B (davinci),,2020,28-05-2020,314000000,Industry
GPT-4,,2023,15-03-2023,22000000000,Industry
GPT-NeoX-20B,,2022,09-02-2022,93200000,Research Collective
GRUs,,2014,03-06-2014,NA,Academia
Gato,,2022,12-05-2022,5440000,Industry
Generative BST,,2021,05-03-2021,NA,Industry
Georgetown experiment,,1954,07-01-1954,2.00E-12,Collaboration
GloVe (32B),,2014,01-01-2014,NA,Academia
GloVe (6B),,2014,01-01-2014,NA,Academia
GoogLeNet / InceptionV1,,2015,07-06-2015,1560,"Collaboration, Industry-leaning"
GroupLens,,1994,22-10-1994,NA,Academia
HMM Word Alignment,,1996,05-08-1996,NA,Academia
Hiero,,2005,01-06-2005,NA,Academia
